,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train91_eval0,exp1,0,91,naive,,49.5
foolish_train91_eval0,exp1,0,91,foolish,,65.0
EWC_train91_eval0,exp1,0,91,EWC,0.4,53.5
naive_train92_eval0,exp1,0,92,naive,,62.5
foolish_train92_eval0,exp1,0,92,foolish,,62.0
EWC_train92_eval0,exp1,0,92,EWC,0.4,52.5
naive_train93_eval0,exp1,0,93,naive,,45.5
foolish_train93_eval0,exp1,0,93,foolish,,37.5
EWC_train93_eval0,exp1,0,93,EWC,0.4,47.5
naive_train94_eval0,exp1,0,94,naive,,49.5
foolish_train94_eval0,exp1,0,94,foolish,,49.5
EWC_train94_eval0,exp1,0,94,EWC,0.4,47.5
naive_train95_eval0,exp1,0,95,naive,,51.0
foolish_train95_eval0,exp1,0,95,foolish,,49.5
EWC_train95_eval0,exp1,0,95,EWC,0.4,48.5
naive_train96_eval0,exp1,0,96,naive,,43.0
foolish_train96_eval0,exp1,0,96,foolish,,60.5
EWC_train96_eval0,exp1,0,96,EWC,0.4,51.5
naive_train97_eval0,exp1,0,97,naive,,19.5
foolish_train97_eval0,exp1,0,97,foolish,,25.5
EWC_train97_eval0,exp1,0,97,EWC,0.4,35.5
naive_train98_eval0,exp1,0,98,naive,,63.0
foolish_train98_eval0,exp1,0,98,foolish,,48.5
EWC_train98_eval0,exp1,0,98,EWC,0.4,46.0
naive_train99_eval0,exp1,0,99,naive,,58.0
foolish_train99_eval0,exp1,0,99,foolish,,53.5
EWC_train99_eval0,exp1,0,99,EWC,0.4,45.5
naive_train1_eval1,exp1,1,1,naive,,93.0
foolish_train1_eval1,exp1,1,1,foolish,,92.5
EWC_train1_eval1,exp1,1,1,EWC,0.4,89.5
naive_train2_eval1,exp1,1,2,naive,,76.5
foolish_train2_eval1,exp1,1,2,foolish,,60.0
EWC_train2_eval1,exp1,1,2,EWC,0.4,73.0
naive_train3_eval1,exp1,1,3,naive,,45.0
foolish_train3_eval1,exp1,1,3,foolish,,44.0
EWC_train3_eval1,exp1,1,3,EWC,0.4,59.0
naive_train4_eval1,exp1,1,4,naive,,38.5
foolish_train4_eval1,exp1,1,4,foolish,,46.0
EWC_train4_eval1,exp1,1,4,EWC,0.4,42.5
naive_train5_eval1,exp1,1,5,naive,,45.5
foolish_train5_eval1,exp1,1,5,foolish,,48.0
EWC_train5_eval1,exp1,1,5,EWC,0.4,44.0
naive_train6_eval1,exp1,1,6,naive,,45.0
foolish_train6_eval1,exp1,1,6,foolish,,42.5
EWC_train6_eval1,exp1,1,6,EWC,0.4,47.0
naive_train7_eval1,exp1,1,7,naive,,52.0
foolish_train7_eval1,exp1,1,7,foolish,,57.5
EWC_train7_eval1,exp1,1,7,EWC,0.4,44.0
naive_train8_eval1,exp1,1,8,naive,,58.0
foolish_train8_eval1,exp1,1,8,foolish,,57.0
EWC_train8_eval1,exp1,1,8,EWC,0.4,43.5
naive_train9_eval1,exp1,1,9,naive,,42.0
foolish_train9_eval1,exp1,1,9,foolish,,52.0
EWC_train9_eval1,exp1,1,9,EWC,0.4,32.5
naive_train10_eval1,exp1,1,10,naive,,33.0
foolish_train10_eval1,exp1,1,10,foolish,,40.5
EWC_train10_eval1,exp1,1,10,EWC,0.4,18.5
naive_train11_eval1,exp1,1,11,naive,,44.0
foolish_train11_eval1,exp1,1,11,foolish,,39.5
EWC_train11_eval1,exp1,1,11,EWC,0.4,36.0
naive_train12_eval1,exp1,1,12,naive,,75.0
foolish_train12_eval1,exp1,1,12,foolish,,64.5
EWC_train12_eval1,exp1,1,12,EWC,0.4,68.0
naive_train13_eval1,exp1,1,13,naive,,54.5
foolish_train13_eval1,exp1,1,13,foolish,,44.0
EWC_train13_eval1,exp1,1,13,EWC,0.4,45.0
naive_train14_eval1,exp1,1,14,naive,,81.0
foolish_train14_eval1,exp1,1,14,foolish,,69.0
EWC_train14_eval1,exp1,1,14,EWC,0.4,70.0
naive_train15_eval1,exp1,1,15,naive,,49.0
foolish_train15_eval1,exp1,1,15,foolish,,50.0
EWC_train15_eval1,exp1,1,15,EWC,0.4,48.5
naive_train16_eval1,exp1,1,16,naive,,60.0
foolish_train16_eval1,exp1,1,16,foolish,,58.0
EWC_train16_eval1,exp1,1,16,EWC,0.4,78.0
naive_train17_eval1,exp1,1,17,naive,,64.5
foolish_train17_eval1,exp1,1,17,foolish,,50.5
EWC_train17_eval1,exp1,1,17,EWC,0.4,44.0
naive_train18_eval1,exp1,1,18,naive,,37.0
foolish_train18_eval1,exp1,1,18,foolish,,34.5
EWC_train18_eval1,exp1,1,18,EWC,0.4,40.0
naive_train19_eval1,exp1,1,19,naive,,67.5
foolish_train19_eval1,exp1,1,19,foolish,,72.5
EWC_train19_eval1,exp1,1,19,EWC,0.4,73.0
naive_train20_eval1,exp1,1,20,naive,,29.0
foolish_train20_eval1,exp1,1,20,foolish,,21.0
EWC_train20_eval1,exp1,1,20,EWC,0.4,20.0
naive_train21_eval1,exp1,1,21,naive,,34.5
foolish_train21_eval1,exp1,1,21,foolish,,28.0
EWC_train21_eval1,exp1,1,21,EWC,0.4,24.0
